GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
alerts,com.safetynet.alerts.utils,DateUtils,2,14,1,1,1,4,1,3,0,3
alerts,com.safetynet.alerts.utils,ConfigurationUtils,0,7,0,0,0,2,0,2,0,2
alerts,com.safetynet.alerts.utils,Constants,0,3,0,0,0,1,0,1,0,1
alerts,com.safetynet.alerts.model.mapper,FloodInfoDTOMapperImpl,4,51,7,5,1,15,6,2,0,2
alerts,com.safetynet.alerts.model.mapper,PersonInfoDTOMapper,0,8,0,0,0,2,0,2,0,2
alerts,com.safetynet.alerts.model.mapper,CommunityMemberDTOMapper,0,8,0,0,0,2,0,2,0,2
alerts,com.safetynet.alerts.model.mapper,FireDTOMapperImpl,4,51,7,5,1,15,6,2,0,2
alerts,com.safetynet.alerts.model.mapper,ChildAlertDTOMapperImpl,4,29,5,3,1,9,4,2,0,2
alerts,com.safetynet.alerts.model.mapper,CommunityMemberDTOMapperImpl,4,37,5,3,1,11,4,2,0,2
alerts,com.safetynet.alerts.model.mapper,PersonInfoDTOMapperImpl,4,55,7,5,1,16,6,2,0,2
alerts,com.safetynet.alerts.model.mapper,FamilyMemberDTOMapperImpl,4,46,2,4,2,12,2,4,0,3
alerts,com.safetynet.alerts.model.mapper,ChildAlertDTOMapper,0,8,0,0,0,2,0,2,0,2
alerts,com.safetynet.alerts.model.mapper,FireDTOMapper,0,8,0,0,0,2,0,2,0,2
alerts,com.safetynet.alerts.model.mapper,FloodInfoDTOMapper,0,8,0,0,0,2,0,2,0,2
alerts,com.safetynet.alerts.controller,PersonController,119,7,8,0,28,2,9,2,5,2
alerts,com.safetynet.alerts.controller,MedicalRecordController,99,7,6,0,22,2,7,2,4,2
alerts,com.safetynet.alerts.controller,AlertsApplicationRunnerController,0,11,0,0,0,4,0,3,0,3
alerts,com.safetynet.alerts.controller,PersonInfoController,47,7,2,0,6,2,2,2,1,2
alerts,com.safetynet.alerts.controller,ChildAlertController,38,7,2,0,6,2,2,2,1,2
alerts,com.safetynet.alerts.controller,FireStationCommunityController,136,7,8,0,24,2,8,2,4,2
alerts,com.safetynet.alerts.controller,FireStationController,129,7,8,0,28,2,9,2,5,2
alerts,com.safetynet.alerts.model.dto,Views,3,0,0,0,1,0,1,0,1,0
alerts,com.safetynet.alerts.model.dto,Views.Public,3,0,0,0,1,0,1,0,1,0
alerts,com.safetynet.alerts.model.dto,FireStationCommunityDTO,6,35,4,2,0,4,3,4,0,4
alerts,com.safetynet.alerts.model.dto,Views.Private,3,0,0,0,1,0,1,0,1,0
alerts,com.safetynet.alerts.model,FunctionalException,4,0,0,0,2,0,1,0,1,0
alerts,com.safetynet.alerts.service,JsonReaderService,68,158,0,0,8,40,0,9,0,9
alerts,com.safetynet.alerts.service,UtilsService,34,51,10,6,5,8,10,7,3,6
alerts,com.safetynet.alerts.service,MedicalRecordService,129,103,6,8,24,27,6,9,0,8
alerts,com.safetynet.alerts.service,PersonInfoService,2,47,1,1,1,11,1,4,0,4
alerts,com.safetynet.alerts.service,FireStationService,130,137,9,15,28,34,9,11,0,8
alerts,com.safetynet.alerts.service,PersonService,156,141,9,11,30,34,9,12,0,11
alerts,com.safetynet.alerts.service,ChildAlertService,2,102,4,8,1,17,4,8,0,6
alerts,com.safetynet.alerts.service,FireStationCommunityService,87,305,11,13,17,66,11,18,0,17
alerts,com.safetynet.alerts,AlertsApplication,5,3,0,0,2,1,1,1,1,1
alerts,com.safetynet.alerts,AlertsApplicationRunner,0,7,0,0,0,3,0,2,0,2
